,Mw
A1-1,10190.99
A1-3,8830.35
A10-2,3977.02
A12-3,6560.57
A14-1,2020.56
A14-2,3764.34
A14-3,5375
A15-2,3922.71
A15-3,5261.7
A16-1,1606.67
A16-2,3666.48
A17-1,1906.74
A17-2,3680.26
A18-1,1800.74
A18-2,3694.02
A18-3,5263.47
A19-1,1777.79
A19-3,5342.73
A20-1,1699.21
A20-2,3605.99
A20-3,5390.93
A22-1,1732.97
A22-2,4354.73
A22-3,5227.54
A23-1,1555.45
A23-3,5216.43
A3-1,787.99
A3-3,460.73
A5-1,6160.54
A5-2,9105.04
A6-1,2719.3
A6-2,7021.54
A6-3,8685.93
A7-1,5878.17
A8-1,2374.6
A8-2,7019.38
A8-3,8559.49
A9-1,1897.04
B10-1,5526.3
B10-2,6806.9
B10-3,5317.1
B10-4,5560.84
B10-5,4444.29
B11-1,5231.4
B11-3,5048
B11-4,5077.81
B11-5,4265.24
B12-1,5578.3
B12-4,5189.38
B12-5,4493.18
B13-2,6789.3
B13-3,5197.4
B13-4,5158.48
B13-5,4334.45
B14-1,5094.2
B14-2,5314.3
B14-3,4972.4
B14-4,5105.85
B15-1,4889.5
B15-2,4997.2
B15-3,4834.6
B15-4,5064.76
B15-5,4048.93
B16-1,5175.1
B16-2,4867.9
B16-3,5063.6
B16-4,5030.7
B16-5,4071.63
B17-1,4343
B17-2,5030.6
B17-3,4808
B17-4,4971.95
B17-5,4041.81
B18-1,5267.4
B18-3,4830.3
B19-1,4392.8
B19-2,4987.1
B19-4,4669.82
B20-3,4833
B4-3,9187.4
B4-4,9263.8
B4-5,4271.88
B5-1,10815.2
B5-2,10263.6
B5-3,6149.1
B5-4,7055.36
B5-5,5832.28
B6-1,3251.4
B6-2,2785.4
B6-3,3509
B6-4,3134.61
B6-5,4199.6
B7-2,9126.1
B7-3,5809.4
B7-4,6902.49
B7-5,4314.05
B8-1,7386
B8-2,7631.5
B8-5,4851.74
B9-1,5788.5
B9-5,4650.57
C1-2,10683.51
C1-3,7732.79
C1-4,7364.08
C1-5,9573.57
C13-1,5932.4
C13-2,6187.23
C13-4,4108.12
C13-5,6285.84
C14-1,6010.1
C14-2,6180.92
C14-3,8216.09
C14-4,4357.11
C14-5,6199.84
C15-1,5534.6
C15-2,6102.51
C15-3,8329.57
C15-4,4273.48
C15-5,6143.38
C16-3,6906.78
C16-4,4219.45
C17-2,6061.55
C17-3,6955.73
C17-5,5656.45
C18-1,5364.6
C18-2,6120.72
C19-1,5192
C19-2,6140.47
C19-3,7079.07
C19-5,5643.45
C2-2,10436.36
C2-4,7333.37
C2-5,9355.26
C20-2,5783.23
C3-2,3956.95
C3-5,3440
C4-1,8869.7
C4-2,8283.87
C4-3,8362.61
C4-4,5023.97
C4-5,5948.33
C5-1,8187.7
C5-2,9456.14
C5-3,8326.59
C5-5,6155.5
C6-3,8145.17
C6-4,4780.38
C7-2,6549.59
C7-5,6394.17
C8-1,6392.1
C8-2,6447.61
C8-3,7910.81
C8-4,4664.64
D1-1,9133.92
D1-2,6238.63
D1-3,5088.3
D1-4,8468.21
D1-5,4006.73
D1-6,10612.1
D10-1,3209.32
D10-2,2403.09
