,Mw,Mw_log
A1-1,10190.99,9.229357396649768
A1-3,8830.35,9.086063169794064
A10-2,3977.02,8.288539487053365
A12-3,6560.57,8.788985182571746
A14-1,2020.56,7.611624769570358
A14-2,3764.34,8.23359344160159
A14-3,5375.0,8.589699882202986
A15-2,3922.71,8.274792913774796
A15-3,5261.7,8.568399482019068
A16-1,1606.67,7.382541204797013
A16-2,3666.48,8.207260056696201
A17-1,1906.74,7.553674574379042
A17-2,3680.26,8.211010363864798
A18-1,1800.74,7.4965081436295815
A18-2,3694.02,8.214741246087545
A18-3,5263.47,8.568735754733707
A19-1,1777.79,7.483688636853255
A19-3,5342.73,8.583679189988008
A20-1,1699.21,7.438507051826942
A20-2,3605.99,8.19062890851267
A20-3,5390.93,8.592658670312028
A22-1,1732.97,7.45816885615276
A22-2,4354.73,8.379247498660721
A22-3,5227.54,8.561887359387116
A23-1,1555.45,7.350162866012019
A23-3,5216.43,8.559760222474196
A3-1,787.99,6.670753646494326
A3-3,460.73,6.1349803046599725
A5-1,6160.54,8.726082025282773
A5-2,9105.04,9.116693208593183
A6-1,2719.3,7.9084974473257414
A6-2,7021.54,8.856880254939393
A6-3,8685.93,9.069574876209726
A7-1,5878.17,8.679170874466577
A8-1,2374.6,7.773005316141705
A8-2,7019.38,8.856572626608955
A8-3,8559.49,9.054912710488125
A9-1,1897.04,7.548577053763398
B10-1,5526.3,8.617454729354241
B10-2,6806.9,8.825838981543686
B10-3,5317.1,8.578871375687848
B10-4,5560.84,8.623684267749434
B10-5,4444.29,8.399600387664618
B11-1,5231.4,8.562625342814071
B11-3,5048.0,8.526945482858915
B11-4,5077.81,8.532832261162746
B11-5,4265.24,8.358488156239265
B12-1,5578.3,8.62681859947742
B12-4,5189.38,8.554562191206044
B12-5,4493.18,8.410538505347697
B13-2,6789.3,8.823250402198221
B13-3,5197.4,8.556106164914835
B13-4,5158.48,8.548591078203648
B13-5,4334.45,8.374580690055522
B14-1,5094.2,8.536054199057157
B14-2,5314.3,8.578344733209486
B14-3,4972.4,8.511858989825535
B14-4,5105.85,8.538338054765346
B15-1,4889.5,8.495049826730547
B15-2,4997.2,8.516833126600682
B15-3,4834.6,8.483760495327838
B15-4,5064.76,8.530259454784847
B15-5,4048.93,8.306454876000599
B16-1,5175.1,8.551807155932286
B16-2,4867.9,8.490623317873618
B16-3,5063.6,8.530030440217729
B16-4,5030.7,8.523513178161055
B16-5,4071.63,8.31204426139091
B17-1,4343.0,8.37655086161377
B17-2,5030.6,8.523493303964717
B17-3,4808.0,8.478244441277663
B17-4,4971.95,8.51176850437101
B17-5,4041.81,8.304695273730642
B18-1,5267.4,8.569481990124892
B18-3,4830.3,8.482870861570666
B19-1,4392.8,8.387949735295079
B19-2,4987.1,8.514810354714443
B19-4,4669.82,8.44908992411412
B20-3,4833.0,8.483429561263428
B4-3,9187.4,9.125697097907079
B4-4,9263.8,9.133977551870167
B4-5,4271.88,8.36004335193585
B5-1,10815.2,9.288800289236047
B5-2,10263.6,9.236456361328955
B5-3,6149.1,8.724223620830971
B5-4,7055.36,8.861684616793294
B5-5,5832.28,8.671334728344556
B6-1,3251.4,8.087148464333682
B6-2,2785.4,7.932505719051791
B6-3,3509.0,8.163371316459912
B6-4,3134.61,8.050579011491775
B6-5,4199.6,8.342982651211207
B7-2,9126.1,9.11900328895954
B7-3,5809.4,8.667404694291958
B7-4,6902.49,8.839782359814562
B7-5,4314.05,8.36986419093591
B8-1,7386.0,8.907476977528738
B8-2,7631.5,8.940170724609033
B8-5,4851.74,8.487298772861838
B9-1,5788.5,8.663801211052327
B9-5,4650.57,8.444960076004334
C1-2,10683.51,9.276550308021314
C1-3,7732.79,8.953354318966944
C1-4,7364.08,8.904505191023752
C1-5,9573.57,9.166865904424236
C13-1,5932.4,8.688352683504
C13-2,6187.23,8.730404379715857
C13-4,4108.12,8.32096417264291
C13-5,6285.84,8.746213838719314
C14-1,6010.1,8.70136303906781
C14-2,6180.92,8.72938418181247
C14-3,8216.09,9.013971410773724
C14-4,4357.11,8.379793756122227
C14-5,6199.84,8.73244004572704
C15-1,5534.6,8.618955240351776
C15-2,6102.51,8.716619294512707
C15-3,8329.57,9.02768716019079
C15-4,4273.48,8.360417736545529
C15-5,6143.38,8.723293121873274
C16-3,6906.78,8.84040359162568
C16-4,4219.45,8.347697036416033
C17-2,6061.55,8.709885782634409
C17-3,6955.73,8.847464815338697
C17-5,5656.45,8.640728539642744
C18-1,5364.6,8.587763484785528
C18-2,6120.72,8.719598381772046
C19-1,5192.0,8.555066843844319
C19-2,6140.47,8.722819406167089
C19-3,7079.07,8.865039073644539
C19-5,5643.45,8.638428040481838
C2-2,10436.36,9.2531469558955
C2-4,7333.37,8.90032679731781
C2-5,9355.26,9.143800916971642
C20-2,5783.23,8.662890527916602
C3-2,3956.95,8.28348149343997
C3-5,3440.0,8.14351740579748
C4-1,8869.7,9.0905089898899
C4-2,8283.87,9.022186238729713
C4-3,8362.61,9.031645431053926
C4-4,5023.97,8.522174762760201
C4-5,5948.33,8.691033887157236
C5-1,8187.7,9.01051043408942
C5-2,9456.14,9.154525290754936
C5-3,8326.59,9.027329377574729
C5-5,6155.5,8.725263713232927
C6-3,8145.17,9.005303157128829
C6-4,4780.38,8.472484486747701
C7-2,6549.59,8.787310400908545
C7-5,6394.17,8.763298296927793
C8-1,6392.1,8.762974562752946
C8-2,6447.61,8.771619882689553
C8-3,7910.81,8.976111858858491
C8-4,4664.64,8.447980295725737
D1-1,9133.92,9.119859711247761
D1-2,6238.63,8.738676164733668
D1-3,5088.3,8.534895575529243
D1-4,8468.21,9.04419251293015
D1-5,4006.73,8.295980275226098
D1-6,10612.1,9.269844366123914
D10-1,3209.32,8.074125899629017
D10-2,2403.09,7.784926732558322
D10-4,3079.57,8.032869923780282
D11-4,2854.28,7.9569251908363805
D11-5,1447.18,7.2780628746121545
D12-1,2318.45,7.749085367589549
D12-4,2191.36,7.692733868159691
D12-5,1598.07,7.377177489236604
D12-6,2614.12,7.869065264547489
D13-2,2438.12,7.79939259749762
D13-3,1725.27,7.453718290463772
D13-4,2598.27,7.862985915355744
D13-5,1586.44,7.369877934776997
D13-6,2303.84,7.742766538704761
D14-1,3136.72,8.051251700503693
D14-2,2376.96,7.773998256251391
D14-3,1792.23,7.491773742009734
D14-4,2136.43,7.667359451736658
D14-5,1375.53,7.22732111875127
D14-6,3126.11,8.047864534325537
D15-1,3182.5,8.06573649945708
D15-4,2316.36,7.74818388569077
D15-5,1528.31,7.332571932272083
D16-1,3176.01,8.063695781888107
D16-2,2470.05,7.8123984405066755
D16-3,2130.41,7.66453901152775
D16-4,2284.32,7.734261337286769
D16-5,1546.87,7.344635071295046
D16-6,2810.17,7.9413560457765735
D17-1,2970.22,7.996727921862808
D17-2,2458.84,7.807851586160767
D17-3,2060.35,7.631116386948092
D17-4,2121.98,7.660576041027699
D17-5,1819.07,7.506630240869677
D17-6,1995.59,7.599196004375307
D18-1,2940.14,7.986552540277186
D18-3,1720.38,7.450881573697781
D18-5,1638.33,7.402042900759072
D18-6,2595.55,7.861938919790666
D19-1,3244.91,8.08515102125762
D2-1,3506.85,8.162758593170794
D2-2,2681.26,7.89441500172316
D2-3,2340.61,7.758594005952773
D2-6,3878.14,8.263368758564905
D20-1,1526.98,7.331701880635569
D20-2,2386.53,7.778014637720967
D3-1,5500.66,8.612805143864435
D3-2,6179.14,8.729096203916829
D3-5,2851.67,7.956010676805282
D3-6,5305.65,8.576716030021815
D4-1,3028.42,8.01612646103852
D4-2,2357.79,7.765904054673578
D4-4,2337.31,7.757183725201416
D4-5,3209.96,8.074325236833474
D5-1,3034.41,8.018101784979239
D5-3,2148.7,7.67308357650209
D5-4,2462.33,7.809269372093249
D5-6,2838.37,7.951337475561203
D6-3,2141.29,7.669630629331964
D6-5,2584.55,7.85769353026851
D6-6,2601.95,7.864400696204623
